Grant,Recipient,Amount,Date,Link to grant description,Topics,Funders,Countries
Updated Beneficiary Preference Research and Pilots,ID Insight Inc,$299083,2025-01-06,https://www.givewell.org/research/grants/idinsight-updated-beneficiary-preference-research-and-pilots-2025,Research,Board Designated,
Support for GiveDirectly General Equilibrium RCT in Malawi,University of Oxford,$491700,2025-01-02,https://www.givewell.org/research/grants/university-of-oxford-support-for-givedirectly-general-equilibrium-rct-in-malawi-december-2024,"Cash transfers,Incentives,Livelihoods,Research,Unconditional cash transfers",All Grants Fund,Malawi
Scoping of Long-Term Follow-Up Study on Preschool Program,International Initiative for Impact Evaluation (3ie),$169691,2024-12-30,https://www.givewell.org/research/grants/the-international-initiative-for-impact-evaluation-scoping-of-long-term-follow-up-study-on-preschool-program-december-2024,"Education,Research",All Grants Fund,Mozambique
Vitamin A Supplementation in 8 Countries,Helen Keller International,$14492343,2024-12-19,https://www.givewell.org/research/grants/Helen-Keller-Intl-Vitamin-A-Supplementation-December-2024,"Nutrition,Supplementation,Vitamin A supplementation (VAS)","Top Charities Fund,All Grants Fund,Effective Altruism Australia,Giving What We Can,Giv Effektivt,Individual donor","Burkina Faso,Cameroon,Democratic Republic of the Congo,Guinea,Mali,Niger,Nigeria"
Iron Bioavailability Study,University of Oxford,$187330,2024-12-19,https://www.givewell.org/research/grants/University-of-Oxford-Iron-Bioavailability-Study-December-2024,"Nutrition,Iron,Research,Supplementation",Effective Altruism Funds,Kenya
Desk-Based Scoping of Drones to Increase Vaccination Coverage,Zipline,$54620,2024-12-18,https://www.givewell.org/research/grants/zipline-desk-based-scoping-of-drones-to-increase-vaccination-coverage-december-2024,Vaccines,Coefficient Giving,
"Net Campaigns in Chad, DRC, Nigeria, and Zambia in 2025-2027",Against Malaria Foundation,$96326393,2024-12-16,https://www.givewell.org/research/grants/against-malaria-foundation-support-for-itn-campaigns-in-chad-drc-nigeria-and-zambia-december-2024,"Malaria,Insecticide-treated nets (ITNs)","Board Designated,Top Charities Fund,Individual donor,Vanguard Charitable","Chad,Democratic Republic of the Congo,Nigeria,Zambia"
"Kangaroo Care Scaling Grant, Rajasthan, India",Ansh UK,$1976578,2024-12-03,https://www.givewell.org/research/grants/ansh-kangaroo-care-scaling-grant-rajasthan-india-december-2024,"""Maternal, neonatal, and child health""","All Grants Fund,Effektiv Spenden,Individual donor",India
In-line Chlorination Pilot,Uduma,$507266,2024-11-27,https://www.givewell.org/research/grants/uduma-in-line-chlorination-pilot-november-2024,"Chlorination,Water",Board Designated,Mali
Mother-Baby Wellness Coaching CommCare Connect (CCC-MBW) Program Design,Dimagi Inc,$320356,2024-11-20,https://www.givewell.org/research/grants/dimagi-mother-baby-wellness-coaching-comm-care-connect-ccc-mbw-program-design-november-2024,"""Maternal, neonatal, and child health""",Board Designated,Nigeria
